searching a(1), a(2), ... with 10 thread(s); Ctrl-C to stop

a(1): 100.0%  9/9  36/s  ETA 0:00:00  elapsed 0:00:00  best 2        
                                                                                                    
  [n=1: scanned 9 in 0:00:00 (36/s)]

a(2): 100.0%  90/90  353/s  ETA 0:00:00  elapsed 0:00:00  best 29        
                                                                                                    
  [n=2: scanned 90 in 0:00:00 (352/s)]

a(3): 100.0%  900/900  3.5K/s  ETA 0:00:00  elapsed 0:00:00  best 797        
                                                                                                    
  [n=3: scanned 900 in 0:00:00 (3.5K/s)]

a(4): 100.0%  9.0K/9.0K  35.4K/s  ETA 0:00:00  elapsed 0:00:00  best 2221        
                                                                                                    
  [n=4: scanned 9.0K in 0:00:00 (35.4K/s)]

a(5): 100.0%  90.0K/90.0K  353.9K/s  ETA 0:00:00  elapsed 0:00:00  best 35771        
                                                                                                    
  [n=5: scanned 90.0K in 0:00:00 (353.4K/s)]

a(6): 100.0%  900.0K/900.0K  3.50M/s  ETA 0:00:00  elapsed 0:00:00  best 175781        
                                                                                                    
  [n=6: scanned 900.0K in 0:00:00 (3.47M/s)]

a(7): 100.0%  9.00M/9.00M  35.48M/s  ETA 0:00:00  elapsed 0:00:00  best 1698311        
                                                                                                    
  [n=7: scanned 9.00M in 0:00:00 (35.41M/s)]

a(8):  45.4%  40.89M/90.00M  160.30M/s  ETA 0:00:00  elapsed 0:00:00  best 43377311        
                                                                                                    
  [n=8: scanned 40.89M in 0:00:00 (160.21M/s)]

a(9):  11.8%  105.91M/900.00M  421.59M/s  ETA 0:00:02  elapsed 0:00:00  best -        
a(9):  17.6%  158.33M/900.00M  315.11M/s  ETA 0:00:02  elapsed 0:00:01  best 251951941        
                                                                                                    
  [n=9: scanned 158.33M in 0:00:01 (314.99M/s)]

a(10):   1.3%  114.29M/9.00G  445.78M/s  ETA 0:00:20  elapsed 0:00:00  best -        
a(10):   2.7%  239.08M/9.00G  464.47M/s  ETA 0:00:19  elapsed 0:00:01  best -        
a(10):   4.0%  360.71M/9.00G  466.28M/s  ETA 0:00:19  elapsed 0:00:01  best -        
a(10):   5.4%  482.34M/9.00G  468.91M/s  ETA 0:00:18  elapsed 0:00:01  best -        
a(10):   6.7%  603.98M/9.00G  471.91M/s  ETA 0:00:18  elapsed 0:00:01  best -        
a(10):   8.1%  724.57M/9.00G  472.00M/s  ETA 0:00:18  elapsed 0:00:02  best -        
a(10):   8.3%  750.78M/9.00G  419.30M/s  ETA 0:00:20  elapsed 0:00:02  best 1745730361        
                                                                                                    
  [n=10: scanned 750.78M in 0:00:02 (419.26M/s)]

a(11):   0.1%  91.23M/90.00G  357.56M/s  ETA 0:04:11  elapsed 0:00:00  best -        
a(11):   0.2%  192.94M/90.00G  375.49M/s  ETA 0:03:59  elapsed 0:00:01  best -        
a(11):   0.3%  294.65M/90.00G  381.67M/s  ETA 0:03:55  elapsed 0:00:01  best -        
a(11):   0.4%  395.31M/90.00G  384.67M/s  ETA 0:03:53  elapsed 0:00:01  best -        
a(11):   0.6%  497.03M/90.00G  387.14M/s  ETA 0:03:51  elapsed 0:00:01  best -        
a(11):   0.7%  595.59M/90.00G  386.09M/s  ETA 0:03:52  elapsed 0:00:02  best -        
a(11):   0.8%  694.16M/90.00G  386.25M/s  ETA 0:03:51  elapsed 0:00:02  best -        
a(11):   0.9%  791.67M/90.00G  385.15M/s  ETA 0:03:52  elapsed 0:00:02  best -        
a(11):   1.0%  893.39M/90.00G  384.72M/s  ETA 0:03:52  elapsed 0:00:02  best -        
a(11):   1.1%  994.05M/90.00G  385.13M/s  ETA 0:03:51  elapsed 0:00:03  best -        
a(11):   1.2%  1.10G/90.00G  385.99M/s  ETA 0:03:50  elapsed 0:00:03  best -        
a(11):   1.3%  1.20G/90.00G  386.97M/s  ETA 0:03:49  elapsed 0:00:03  best -        
a(11):   1.4%  1.30G/90.00G  386.62M/s  ETA 0:03:49  elapsed 0:00:03  best -        
a(11):   1.5%  1.39G/90.00G  386.63M/s  ETA 0:03:49  elapsed 0:00:04  best -        
a(11):   1.7%  1.50G/90.00G  386.99M/s  ETA 0:03:49  elapsed 0:00:04  best -        
a(11):   1.8%  1.59G/90.00G  386.45M/s  ETA 0:03:49  elapsed 0:00:04  best -        
a(11):   1.9%  1.69G/90.00G  387.04M/s  ETA 0:03:48  elapsed 0:00:04  best -        
a(11):   2.0%  1.79G/90.00G  387.00M/s  ETA 0:03:48  elapsed 0:00:05  best -        
a(11):   2.1%  1.89G/90.00G  387.40M/s  ETA 0:03:47  elapsed 0:00:05  best -        
a(11):   2.2%  1.99G/90.00G  387.08M/s  ETA 0:03:47  elapsed 0:00:05  best -        
a(11):   2.3%  2.09G/90.00G  387.38M/s  ETA 0:03:47  elapsed 0:00:05  best -        
a(11):   2.4%  2.19G/90.00G  386.99M/s  ETA 0:03:47  elapsed 0:00:06  best -        
a(11):   2.5%  2.28G/90.00G  385.83M/s  ETA 0:03:47  elapsed 0:00:06  best -        
a(11):   2.6%  2.37G/90.00G  384.68M/s  ETA 0:03:48  elapsed 0:00:06  best -        
a(11):   2.7%  2.46G/90.00G  384.16M/s  ETA 0:03:48  elapsed 0:00:06  best -        
a(11):   2.8%  2.56G/90.00G  383.90M/s  ETA 0:03:48  elapsed 0:00:07  best -        
a(11):   3.0%  2.66G/90.00G  384.25M/s  ETA 0:03:47  elapsed 0:00:07  best -        
a(11):   3.1%  2.76G/90.00G  384.86M/s  ETA 0:03:47  elapsed 0:00:07  best -        
a(11):   3.2%  2.86G/90.00G  385.25M/s  ETA 0:03:46  elapsed 0:00:07  best -        
a(11):   3.3%  2.97G/90.00G  385.84M/s  ETA 0:03:46  elapsed 0:00:08  best -        
a(11):   3.4%  3.06G/90.00G  385.56M/s  ETA 0:03:45  elapsed 0:00:08  best -        
a(11):   3.5%  3.16G/90.00G  385.85M/s  ETA 0:03:45  elapsed 0:00:08  best -        
a(11):   3.6%  3.26G/90.00G  385.14M/s  ETA 0:03:45  elapsed 0:00:08  best -        
a(11):   3.7%  3.36G/90.00G  385.54M/s  ETA 0:03:45  elapsed 0:00:09  best -        
a(11):   3.8%  3.46G/90.00G  385.88M/s  ETA 0:03:44  elapsed 0:00:09  best -        
a(11):   4.0%  3.56G/90.00G  386.12M/s  ETA 0:03:44  elapsed 0:00:09  best -        
a(11):   4.1%  3.67G/90.00G  386.55M/s  ETA 0:03:43  elapsed 0:00:09  best -        
a(11):   4.2%  3.76G/90.00G  386.12M/s  ETA 0:03:43  elapsed 0:00:10  best -        
a(11):   4.3%  3.86G/90.00G  385.94M/s  ETA 0:03:43  elapsed 0:00:10  best -        
a(11):   4.4%  3.96G/90.00G  385.76M/s  ETA 0:03:43  elapsed 0:00:10  best -        
a(11):   4.5%  4.06G/90.00G  385.56M/s  ETA 0:03:43  elapsed 0:00:11  best -        
a(11):   4.6%  4.15G/90.00G  385.26M/s  ETA 0:03:43  elapsed 0:00:11  best -        
a(11):   4.7%  4.25G/90.00G  384.80M/s  ETA 0:03:43  elapsed 0:00:11  best -        
a(11):   4.8%  4.34G/90.00G  384.28M/s  ETA 0:03:43  elapsed 0:00:11  best -        
a(11):   4.9%  4.43G/90.00G  383.65M/s  ETA 0:03:43  elapsed 0:00:12  best -        
a(11):   5.0%  4.53G/90.00G  383.08M/s  ETA 0:03:43  elapsed 0:00:12  best -        
a(11):   5.1%  4.62G/90.00G  383.01M/s  ETA 0:03:43  elapsed 0:00:12  best -        
a(11):   5.2%  4.71G/90.00G  382.51M/s  ETA 0:03:43  elapsed 0:00:12  best -        
a(11):   5.3%  4.81G/90.00G  382.41M/s  ETA 0:03:43  elapsed 0:00:13  best -        
a(11):   5.4%  4.90G/90.00G  381.83M/s  ETA 0:03:43  elapsed 0:00:13  best -        
a(11):   5.6%  5.00G/90.00G  381.84M/s  ETA 0:03:43  elapsed 0:00:13  best -        
a(11):   5.7%  5.09G/90.00G  381.40M/s  ETA 0:03:43  elapsed 0:00:13  best -        
a(11):   5.8%  5.18G/90.00G  380.55M/s  ETA 0:03:43  elapsed 0:00:14  best -        
